locationId,providerId,locationName,registrationStatus,registrationDate,addressLine1,town,postcode,region,localAuthority,constituency,latitude,longitude,phoneNumber,regulatedActivities,gacServiceTypes,overallRating,overallRatingDate,numberOfBeds,website
1-13931191341,1-13354205369,Kent Care Consultants LTD,Registered,03/10/2022,Suite 2037 Letraset Building,Ashford,TN23 6LN,South East,Kent,Ashford,51.1335568,0.8685281,7472456191,Personal care,Homecare agencies,,,0,www.kentcareconsultants.co.uk
1-13931454343,1-13533195188,Care First 24 Ltd,Registered,01/10/2022,7 The Old Yard,Westerham,TN16 1JP,South East,Kent,Sevenoaks,51.2772223,0.110551,1732790001,"Personal care; Treatment of disease, disorder or injury",Homecare agencies; Supported living,,,0,
1-13945930703,1-13515445885,Penny Care Limited,Registered,31/10/2022,"Unit 4, 53 Bath Street",Gravesend,DA11 0DF,South East,Kent,Gravesham,51.4446531,0.3661049,7727142171,"Personal care; Treatment of disease, disorder or injury",Homecare agencies,,,0,www.pennycare.co.uk
1-13980883835,1-13126909033,The BIS Services - DCS,Registered,10/10/2022,GHL House,Maidstone,ME14 5DZ,South East,Kent,Maidstone and Malling,51.2746272,0.53055,1622584456,Personal care,Homecare agencies,,,0,www.thebiss.co.uk
1-1410558169,1-1379610354,I Say Supported Living Services Limited,Registered,28/05/2014,"Unit 82, Riverside Estate",Rochester,ME2 4BH,South East,Medway,Rochester and Strood,51.3896352,0.5176153,1634712168,Personal care,Homecare agencies; Supported living,Good,19/03/2019,0,
1-14138578592,1-10006742735,Inspire Care Agencies Limited,Registered,03/11/2022,10 Quarry Hill Parade,Tonbridge,TN9 2HR,South East,Kent,Tonbridge,51.1899607,0.2699995,,Personal care,Homecare agencies,,,0,
1-14259416846,1-13348220940,March Services Care-Kent,Registered,28/10/2022,4 Quartz Way,Sittingbourne,ME10 5AA,South East,Kent,Sittingbourne and Sheppey,51.3510176,0.715926,,Personal care,Homecare agencies,,,0,
1-14279797281,1-13315332234,Mariah Care Ltd Main Office,Registered,16/11/2022,Suite 316 Kingsley House,Gillingham,ME7 4NT,South East,Medway,Gillingham and Rainham,51.3862504,0.5499131,1634959463,Personal care,Homecare agencies,,,0,www.mariahcare.co.uk
1-14333378903,1-10756694805,Nurse at Home Ltd,Registered,08/11/2022,"Unit 32, Maidstone Innovation Centre",Maidstone,ME14 5FY,South East,Kent,Faversham and Mid Kent,51.2846556,0.5564675,1622234646,Personal care,Homecare agencies,,,0,
1-1434698282,1-102643122,Kent and Medway Domiciliary Care Agency,Registered,03/06/2014,5 Highpoint Business Park,Ashford,TN24 8DH,South East,Kent,Ashford,51.150686,0.884528,1233636724,Personal care,Homecare agencies; Supported living,Requires improvement,02/09/2023,0,www.voyagecare.com
1-1438762899,1-101677610,Kent Enablement at Home,Registered,12/06/2014,"Worrall House, 30 Kings Hill Avenue",West Malling,ME19 4AE,South East,Kent,Maidstone and Malling,51.2768621,0.3986424,3000411480,Personal care,Homecare agencies,Good,05/09/2018,0,
1-14395106088,1-12501737734,Beulah Care Training And Services Limited,Registered,21/11/2022,"Rose Villa, Nelson Road",Gravesend,DA11 7ED,South East,Kent,Gravesham,51.43225,0.353818,7919093754,Personal care,Homecare agencies,,,0,www.beulahcare.co.uk/
1-14415894032,1-13929684655,Tashn Limited,Registered,21/11/2022,Unit 5,Gravesend,DA11 0RG,South East,Kent,Gravesham,51.4365814,0.3518648,7811437116,"Personal care; Treatment of disease, disorder or injury",Homecare agencies; Supported living,,,0,
1-144263091,1-101694250,Cornford House,Registered,29/12/2010,Cornford Lane,Tunbridge Wells,TN2 4QS,South East,Kent,Tunbridge Wells,51.1421496,0.3136882,1892820100,"Personal care; Accommodation for persons who require nursing or personal care; Treatment of disease, disorder or injury",Nursing homes; Residential homes; Supported living,Requires improvement,19/10/2022,74,www.cornfordhouse.co.uk
1-14498490267,1-13782635677,Leadwood Care Limited,Registered,05/12/2022,7 Hilary Gardens,Rochester,ME1 3PY,South East,Medway,Rochester and Strood,51.3712318,0.4829329,7597769445,Personal care,Homecare agencies,,,0,
1-14501394394,1-9369617878,Prudent Domiciliary Care,Registered,14/12/2022,"Unit 3, Epps Building",Ashford,TN23 1BB,South East,Kent,Ashford,51.1504132,0.8578571,1322686765,Personal care,Homecare agencies,,,0,
1-14575204422,1-12946012709,Eclectic Care Ltd,Registered,17/01/2023,"Suite FB9 B, Old Library",Maidstone,ME14 1LH,South East,Kent,Maidstone and Malling,51.2757797,0.5195358,1622801285,Personal care,Homecare agencies; Supported living,,,0,www.eclecticcare.co.uk
1-14594650853,1-14172462527,Harlon Healthcare Limited,Registered,16/12/2022,34 Bow Arrow Lane,Dartford,DA2 6PA,South East,Kent,Dartford,51.4469647,0.239117,1322632652,"Personal care; Treatment of disease, disorder or injury",Homecare agencies; Supported living,,,0,
1-14622716166,1-3932127552,Vibrant Homecare Maidstone,Registered,23/01/2023,"F12, Bizspace Maidstone",Maidstone,ME15 6LP,South East,Kent,Maidstone and Malling,51.2706431,0.5245875,3301741402,Personal care,Homecare agencies,Requires improvement,11/11/2023,0,www.f-hr.co.uk
1-14636876805,1-11895154025,Faysha Limited,Registered,23/01/2023,"Unit 2, Queens Street",Gravesend,DA12 2EE,South East,Kent,Gravesham,51.4423236,0.3711971,,Personal care,Homecare agencies; Supported living,,,0,
1-14690849307,1-14362740378,Saintly Care Limited,Registered,13/01/2023,OFF10 Armadillo Canterbury,Canterbury,CT1 1DX,South East,Kent,Canterbury,51.2915657,1.1009247,,Personal care,Homecare agencies,,,0,
1-14645052049,1-13891682770,A1 Healthcare Solutions,Registered,26/01/2023,65 Ordnance Street,Chatham,ME4 6SB,South East,Medway,Chatham and Aylesford,51.3781117,0.5190001,,Personal care,Homecare agencies,,,0,
1-14764795930,1-101666330,Forge House Care North Kent,Registered,26/01/2023,11 St. Marys Close,Gravesend,DA12 5PA,South East,Kent,Gravesham,51.4308206,0.3766453,1634671404,Personal care,Supported living,,,0,www.forgehousecare.com
1-147720239,1-101688684,Audley Care - Audley Care Willicombe Park,Registered,03/12/2010,Willicombe House,Tunbridge Wells,TN2 3UU,South East,Kent,Tunbridge Wells,51.1360469,0.2832918,1892616769,Personal care,Homecare agencies,Good,14/01/2020,0,www.audleycare.co.uk
1-14787112902,1-12830266481,Care Advisory & Respite Experts Ltd,Registered,13/01/2023,26 Well Close,Tonbridge,TN11 8RQ,South East,Kent,Tonbridge,51.1951029,0.2142724,1732914098,Personal care,Homecare agencies,,,0,www.careltd.com
1-14836635686,1-14530586185,Parry Healthcare Limited,Registered,25/02/2023,78 Gordon Road,Chatham,ME4 5LU,South East,Medway,Chatham and Aylesford,51.3733399,0.5343901,1634394981,Personal care,Homecare agencies,,,0,www.parryhealthcare.co.uk
1-14857528445,1-172521302,Yourlife (Dover),Registered,24/01/2023,Elkington House,Dover,CT16 1AP,South East,Kent,Dover and Deal,51.1324382,1.3068066,1304202479,Personal care,Supported housing,,,0,
1-14878061926,1-11099404620,Platinum Housing Support and Care Ltd (Crown House),Registered,27/01/2023,Suite 31 Kent Space,Chatham,ME5 8UD,South East,Medway,Chatham and Aylesford,51.3289419,0.5444833,7427132543,Personal care,Homecare agencies,,,0,
1-14937204954,1-14571401658,Able Hands Healthcare Ltd,Registered,05/04/2023,"Units 64 A B C, Dockside Outlet Centre",Chatham,ME4 3ED,South East,Medway,Rochester and Strood,51.4007778,0.534564,7800966092,Personal care,Homecare agencies; Supported living,,,0,www.ablehandshealthcare.com
1-14954906225,1-14486167581,Caremark Ashford & Shepway,Registered,06/02/2023,"Suite 1, Unit 3",Ashford,TN24 8DH,South East,Kent,Ashford,51.1516915,0.8852,1233423330,Personal care,Homecare agencies,,,0,caremark.co.uk/locations/ashford-and-shepway
1-15013335780,1-14428228019,2Dees Ltd,Registered,08/03/2023,26 Wordsworth Way,Dartford,DA1 5NZ,South East,Kent,Dartford,51.4556823,0.2355416,,Personal care,Homecare agencies,,,0,
1-15070047172,1-13719623480,Decimal Healthcare Services - Main Office,Registered,22/02/2023,Storage King Dartford,Dartford,DA2 6HH,South East,Kent,Dartford,51.4383847,0.243374,3335779094,Personal care,Homecare agencies,,,0,www.decimalhealthcare.co.uk
1-15083433584,1-6455105516,Alina Homecare - Maidstone,Registered,24/02/2023,Unit F4 (Part First Floor),Maidstone,ME15 6JF,South East,Kent,Maidstone and Malling,51.2601045,0.5272929,1622392922,Personal care,Homecare agencies,,,0,www.alinahomecare.com/locations/maidstone/
1-15076940521,1-14589196743,Oaks Care Holdings LTD,Registered,01/03/2023,41 Amethyst Drive,Sittingbourne,ME10 5JR,South East,Kent,Sittingbourne and Sheppey,51.3506447,0.7224475,1732440210,Personal care,Homecare agencies,,,0,
1-15103901784,1-14580065208,Aspire Home Carers (Ramsgate) Ltd,Registered,08/02/2023,Discovery Park,Sandwich,CT13 9FF,South East,Kent,Herne Bay and Sandwich,51.2877555,1.3443824,7908947662,Personal care,Homecare agencies,Good,04/11/2022,0,
1-15109833159,1-14566163775,Amora Care - Main Office,Registered,01/03/2023,"Unit B1, Speldhurst Business Park",Tunbridge Wells,TN3 0AQ,South East,Kent,Tunbridge Wells,51.1455229,0.2189755,1892336842,Personal care,Homecare agencies,,,0,
1-15119325865,1-14863643159,Visiting Angels North West Kent,Registered,28/04/2023,Unit 2 Horton Road,Dartford,DA4 9LW,South East,Kent,Sevenoaks,51.4029871,0.2465124,7957165444,Personal care,Homecare agencies,,,0,www.visiting-angels.co.uk
1-15199356006,1-15126086868,Compass House,Registered,05/05/2023,84 Holland Road,Maidstone,ME14 1UT,South East,Kent,Maidstone and Malling,51.2774397,0.5296683,1622722400,Personal care,Homecare agencies; Supported living,Requires improvement,21/03/2023,0,
1-1525242076,1-118163873,Home Instead,Registered,30/07/2014,"Unit 1, Little Cliffsend Farm",Ramsgate,CT12 5HP,South East,Kent,East Thanet,51.330257,1.381448,1843862268,Personal care,Homecare agencies,Good,28/08/2019,0,www.homeinstead.co.uk/Broadstairs
1-15274827350,1-14822207731,Care Matrix Homecare,Registered,31/03/2023,Wises Oast,Sittingbourne,ME9 8LR,South East,Kent,Sittingbourne and Sheppey,51.3387694,0.7058433,2080580529,Personal care,Homecare agencies; Supported living,,,0,www.carematrix.uk
1-15302138723,1-10649599170,CCS Care Ltd,Registered,12/04/2023,"FA3B, The Old Library",Maidstone,ME14 1LH,South East,Kent,Maidstone and Malling,51.2755854,0.5189073,,Personal care,Homecare agencies; Supported living,,,0,
1-15351517090,1-14976795055,Extended Caring Limited,Registered,17/04/2023,12 Green Oak Crescent,Sittingbourne,ME9 8GR,South East,Kent,Sittingbourne and Sheppey,51.3719478,0.7262632,7988749544,Personal care,Homecare agencies,,,0,www.extendedcaringlimited.co.uk
1-15560556765,1-118166337,Endurance Care Deal and Hythe Head Office,Registered,24/04/2023,"Unit 12 Discovery Park, Innovation House",Sandwich,CT13 9ND,South East,Kent,Herne Bay and Sandwich,51.2864429,1.3462084,7376427340,Personal care,Supported living,,,0,
1-1562395381,1-1516343456,Bee's Care Agency Limited,Registered,07/08/2014,154 City Way,Rochester,ME1 2AU,South East,Medway,Rochester and Strood,51.3766729,0.5104111,1634719662,Personal care,Homecare agencies,,,0,www.beescareagency.co.uk
1-1562746096,1-1389950203,Kent Home Care Limited,Registered,16/08/2014,2 Oaten Hill Court,Canterbury,CT1 3HS,South East,Kent,Canterbury,51.2743378,1.0850513,1227788700,Personal care,Homecare agencies,Good,22/08/2019,0,www.kenthomecare.com
1-15642971295,1-9043388006,Your Care Nursing Ltd,Registered,25/04/2023,71 Colney Road,Dartford,DA1 1TQ,South East,Kent,Dartford,51.4446255,0.229274,7985713385,Personal care,Homecare agencies; Supported living,,,0,www.yourcarenursing.co.uk
1-156868778,1-101694259,Hazeldene House,Registered,17/01/2011,Romford Road,Tunbridge Wells,TN2 4AY,South East,Kent,Tunbridge Wells,51.145397,0.3362704,1892823018,"Personal care; Accommodation for persons who require nursing or personal care; Treatment of disease, disorder or injury",Community services - Nursing; Nursing homes; Residential homes; Homecare agencies; Supported living,Good,11/06/2022,78,www.hazeldenehouse.com
1-1573513396,1-101677610,Kent Enablement at Home,Registered,15/08/2014,Kroner House,Ashford,TN24 8XU,South East,Kent,Ashford,51.1625208,0.8668477,3000410404,Personal care,Homecare agencies,Good,06/07/2019,0,
1-15827017990,1-14573832575,69 Burroughs Drive Dartford,Registered,10/05/2023,69 Burroughs Drive,Dartford,DA1 5TW,South East,Kent,Dartford,51.4500805,0.2237778,7853453332,Personal care,Homecare agencies; Supported living,,,0,
